"id_comentario"	"comment"	"clase_comentario"
"comment_id_100966"	"Fuimos tarde, eran las 15 y 30 pasaditas."	"Excelente"
"comment_id_100966"	"Aùn asì me atendieron impecablemente. Todos con una onda de \\"entrecasa\\", en el mejor sentido de la palabra. Con lo cual te hacen sentir muy còmodo a Vos tambièn. "	"Excelente"
"comment_id_100966"	"La comida, riquìsima, se demorò un poco, lo que me hizo notar que fue hecha en el momento, quiero decir, no me dieron nada recalentado pese a que era la hora de cierre."	"Excelente"
"comment_id_100966"	"Volveremos sin duda. Los precios muy buenos."	"Excelente"
"comment_id_101009"	"Excelente!!!!! Para recomendar amplimente. Fuimos a cenar con mi chico y la pasamos excelente. la atencion es destacable. LO MEJOR!!! la ambientacion, LA PIZARRA/MENU y la soda en SIFON. Comimos \\"caramelo de mozzarella\\" y \\"brusquetas\\" y dsps \\"fussilli fierrito\\" y de postre AFRODITA (recomendacion de la camarera).... volveremos seguro!"	"Excelente"
"comment_id_101010"	"Antigua fábrica de pastas devenida en restó. En realidad es tan solo una acumulación de mesas en la calle, y frente al mostrador de despacho, pero nada de eso importa con la sola llegada de la carta. Propuestas super interesantes: raviolones de batatas y almendras, agnolotis de cordero,  sorrentinos de Cheddar, pollo y nueces pecam, otros rellenos de bondiola de cerdo… y lo mejor… los platos no defraudan cuando llegan a la mesa. Los sabores son super intensos, la textura de las pastas ideal, y las salsas bien equilibradas de acuerdo a cada relleno. Y además, precios accesibles."	"Muy buena"
"comment_id_101014"	"Ayer fui a comer. El servicio pésimo, había solo una chica para todas las mesas. Pedimos primero el tapeo y los nachos juntos, nos trajeron solo el tapeo y se olvidaron los nachos. "	"Malo"
"comment_id_101014"	""	"Malo"
"comment_id_101014"	"Me tuve que levantar e ir a buscar la carta de tragos porque era imposible que te prestaran atención. Una vez que pedí mi trago, SE OLVIDARON DEL ALCOHOL!! Pedí un mojito! Era jugo aguado de lima con menta! DE TERROR!"	"Malo"
"comment_id_101014"	""	"Malo"
"comment_id_101014"	"De todos modos volvería igual, me encanta el ambiente de sillones, muy chill, genial para ir tranquilo en pareja. Espero que la próxima haya mas chicas para atender!"	"Malo"
"comment_id_101032"	"El ambiente muy lindo y elegante, el servicio bueno pero en mi opinion me gusto mucho mas la parrilla de otros lugares."	"Malo"
"comment_id_10107"	"Me parece un excelente restaurante. La atención es muy buena al igual que el ambiente y el lugar."	"Muy buena"
"comment_id_101096"	"\\"Te vas con las ganas de vovler\\": Esta es la frase. Había que conocerlo, me antojé y elegí un mediodía a última hora, con lo que no hubo necesidad de reserva previa. Excelente las cucharitas de langostinos (altamente recomendables como para empezar)al igual que los rolls Togamaki. Por supuesto tengo ganas de la próxima vez, sentarme en la barra (muy tentadora)."	"Excelente"
"comment_id_101096"	"Aunque me hubiese gustado que el vino blanco, por lo que era, viniera más frío."	"Excelente"
"comment_id_101115"	"Es difícil encontrar un restaurant japonés de rendimiento tan parejo en todos los rubros, mucho más a ese precio. Yakimeshi, yakisoba y donburi, sabrosos y con ingredientes frescos. El sushi cumple y está a muy buen precio en relación con la calidad. Las porciones se han reducido: los voraces tendrán que poner un billete para irse saciados. Óptimo servicio y grato ambiente, aunque suele quedar chico para la demanda. Eso sí, por algún motivo que nunca entendí es muchísimo mejor la experiencia en el salón que llevando a domicilio, sea en auto, en bicicleta o a pie. Vale la pena probarlo!"	"Muy buena"
"comment_id_101127"	"Un típico bodegón de pastas de Buenos Aires, aunque en la carta hay DE TODO, pero TODO. La pasta es riquisima, la salsa mamma rosa también. El ambiente es muy agradable, hay mesas afuera y no tiene salón fumador."	"Muy buena"
"comment_id_101134"	"la comida de diez, es lugar es chiquito pero pintoresco, muy bueno para una cena intima"	"Excelente"
"comment_id_101161"	"fuimos por todas las recomendaciones que leimos y la verdad nos encantó. La comida es excelente y de muy buena calidad, volvemos seguro y seguido"	"Excelente"
"comment_id_101167"	"todo bien pero demoraron en traer la comida, el resto pasable"	"Buena"
"comment_id_101174"	"Suelo ir allí con mis amigas. La comida es dentro de todo variada: hay muchas variedades de panqueques, sandwiches y hamburguesas."	"Buena"
"comment_id_101174"	"El panqueque salado estaba rico, y las papas fritas eran abundantes."	"Buena"
"comment_id_101174"	"La atención por parte de las mozas fue buena."	"Buena"
"comment_id_101174"	"Tiene aire acondicionado y wi-fi, asi que 2 puntos a favor."	"Buena"
"comment_id_101174"	"Otras veces tuve la oportunidad de pedir panqueques dulces. Muy recomendable. Son abundantes."	"Buena"
"comment_id_101201"	"Excelente lugar. Si pasás por afuera no es gran cosa, pero al entrar es cálido, poco ruidoso y las mesas bien separadas. La atención es impecable. La comida muy sabrosa y abundante. Comí rabas de entrada, ravioles de cordero (muy recomendables) y postre. El precio también excelente. Una buena opción, sin dudarlo, para ir con amigos/as, pareja o familia."	"Excelente"
"comment_id_101256"	"Comimos muy rico. Realmente levantan el nivel culinario en Palermo. Felicitaciones!"	"Excelente"
"comment_id_101263"	"Nobleza obliga: si bien la última vez que concurrí el servicio había sido pésimo, mejoró notablemente en cuanto a velocidad y amabilidad. Me refiero específicamente al mozo de la terraza el sábado por la noche, un hombre mayor que el resto del personal, y, por lo mismo, muchísimo más competente."	"Muy buena"
"comment_id_101263"	"Las mesas están más separadas, y la única objeción es el volumen de la música (que pedí bajara y cumplió de inmediato). La comida, como siempre, excelente, ha mejorado el tamaño de las porciones y los tragos, impecables. Recomiendo el majestuoso Bloody Mary. Gran barman, en verdad."	"Muy buena"
"comment_id_101270"	"Carta corta ( pizarron) , platos abundantes y muy sabrosos, ambiente muy informal, ruidoso, musica y mucha gente joven. Los mozos se desviven por atenderte bien. Le faltaria tener algunos aperitivos un poco mas elaborados que fernet con cola. Pero es un lugar altamente recomendable para quien quiera comer en un restaurante diferente donde uno no puede aburrirse."	"Muy buena"
"comment_id_101294"	"Lugar muy recomendable, en una vieja casona frente a Plaza Dorrego. Se puede comer en el balcón a la calle frente a la plaza, adentro, o en una muy linda terraza (fumadores agradecidos). Los ingredientes son excelentes, así como la cocina en sí. Todos los platos son muy buenos, de modo parejo y constante, todas las veces que fuí.  Es una muy buena opción de comida italiana en un lugar único. Ideal para invitar a algún visitante extranjero."	"Muy buena"
"comment_id_101298"	"Me gusto mucho la comida la carne es muy rica y la verdad uno sale muy contento, ademas la variedad de platos es muy buena a los amigos que vienen de afuera las doy un paseo por Siga la Vaca."	"Muy buena"
"comment_id_101300"	"Solo fui a merendar. Me encantó. Cada vez que puedo y con paciciencia, vuelvo. El servicio no es de lo mejor pero sí la limonada, el cafe con leche y las tostadas."	"Excelente"
"comment_id_101368"	"La comida es muy buena, con platos diferentes y muy gustosos. Un poco chico el lugar. La atencion es buena pero nada del otro mundo."	"Excelente"
"comment_id_101380"	"totalmente recomendable,hermosa ambientacion, tanto el interior como el deck a madero este. muy buena presentacion de los platos,muy buen sushi, la atencion fue excelente.pedimos para compartir el combinado de sushi club,previos tragos con sake (ketana y caipisake),recomendadisimos los tragos,a muy buen precio por cierto.basica entrada de langostinos,30 piezas bien presentadas,rincon intimisimo,sucursal ideal para velada tranqui o como mucho 4.nos quedamos con ganas de los tentadores postres.originalisima la carta iluminada para facilitar la lectura, felicitaciones, buenos precios, volveremos."	"Muy buena"
"comment_id_101396"	"Este es mi lugar favorito para comer carnes,auque no es muy chic,es fabuloso puedes comer asado hasta hartarte ,los precios son baratos el ambiente familiar,los asadores son re buena onda pobres deberian poner un frasquito para poner tips(propinas)de tan buena onda q son"	"Muy buena"
"comment_id_101396"	"me encanta y mas cuando no hay mucha gente."	"Muy buena"
"comment_id_101415"	"Interesante lugar para quienes gustan de la buena pizza. La masa es bien crocante y no escatiman con los condimentos. Buena relación precio / calidad. La entrada que sirven es abundante, hay que tenerlo en cuenta a la hora de pedir la pizza! El ambiente es agradable, ideal para cenar en pareja. Lo recomiendo."	"Muy buena"
"comment_id_101454"	"Un bodegón como los de antes con una atención amable y profesional, una cocina muy buena y  excelentes precios es el motivo por el cual este restaurante trabaja como lo hace. No hay secretos, y la gente nunca se equivoca al elegir. Muy bueno!"	"Muy buena"
"comment_id_101458"	"Es un restaurante muy bien puesto, tranquilo para charlar y tener una muy buena velada. El servicio es muy bueno, lo único malo es que te apuran sutilmente a que elijas. Peor el resto excelente precio, calidad y servicio."	"Muy buena"
"comment_id_101458"	"Saludos."	"Muy buena"
"comment_id_101476"	"Como dijera J.M. Falduto, ¡es re-grosso, mannn! Para no ser redundante alabando pastas, ovaciono a la provoleta y la ensalada de pulpetas (inmejorable el aliño de aceite de oliva primera prensada y pesto de rúcula). Noten que hay carnes y platos de la semana muy interesantes y que los postres son simples pero buenos. El ambiente es chico pero no chic: es imprescindible reservar y disfrutarlo así. La atención del dueño, impecable. No me pareció malo el queso rallado, vaya uno a saber por qué ciertos comentaristas se ensañaron tanto con el pobrecito. ¡Resérvenme la mesa más escondida por un año!"	"Excelente"
"comment_id_101498"	"El servicio es muy atento y el lugar bonito. El menú ejecutivo tiene porciones muy pero muy pequeñas, extremadamente diferente de lo que se sirve cuando se pide por carta."	"Malo"
"comment_id_10150"	"Muy lindo lugar! Si van en invierno, lleven abrigo."	"Excelente"
"comment_id_101513"	"Realmente me decepcionó: La comida es escasa, cara y no sorprende para nada, todo lo puedo hacer en mi casa con unas clases de Utilísima. Fui con muy altas expectativas y encima quedé muy mal enfrente de los invitados, no podían creer lo que estaban sirviendo. No tienen menú en inglés y menos que menos en japonés. Los drinks fueron lo que rescató la comida, pero NO TIENEN SAKE!!! Mejor ni hablar, no vuelvo."	"Malo"
"comment_id_101514"	"Es cheto."	"Buena"
"comment_id_101534"	"Lugar de onda, para ir en grupo: no lo aconsejarìa a parejas. La carne adecuada, sin particularidades, el servicio me pareciò mas rapido y atento de lo que me imaginarìa con la cantidad de personas que habia."	"Buena"
"comment_id_101544"	"En estos días una de las mejores propuestas para ir a almorzar en Buenos Aires. Mientras que en otros baja la calidad de atención y los platos, Le Blé abre nuevas sucursales en el barrio de Palermo. La pastelería es de las más recomendables para un rico café o té de amigas. La atención es casi profesional, gente joven educada y amable. Recomiendo su exquisita limonada con jenjibre, de entrada compartir una tartine -todas las opciones son muy ricas- y de principal cualquiera de las ensaladas y sino un buen sandwich de lomo. ¿Postre? Este es el lugar indicado para no perderselo con un café."	"Excelente"
"comment_id_101547"	"Me lo recomendo uno de los responsables del lugar.y la verdad no se equivoco.fue exacto en  su recomendacion y en su esmerada atencion. eramos tres mujeres y nos sentimos muy a gusto.la verdad que junto con el mozo claudio, el responsable nos hizo sentir como diosas."	"Muy buena"
"comment_id_101552"	"Muy Rica Pizza... bien finita pero con abundante y frescos ingredientes. Recomendable. "	"Excelente"
"comment_id_101552"	"El lugar es chico y con el horno muy cerca lo cual hace que se sienta el calor por más que estén los aires prendidos."	"Excelente"
"comment_id_101552"	"Igualmente vamos a volver para probar más gustos de pizza!"	"Excelente"
